created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2019-05-15 00:44:04 UTC,112,202,251,253,7,,,,
2019-05-15 00:44:20 UTC,113,200,249,251,252,,,,
2019-05-15 00:44:36 UTC,114,24,203,111,1,,,,
2019-05-15 00:44:57 UTC,115,147,177,184,69,,,,
2019-05-15 00:45:13 UTC,116,168,207,207,116,,,,
2019-05-15 00:45:29 UTC,117,179,225,217,145,,,,
2019-05-15 00:45:50 UTC,118,177,225,216,142,,,,
2019-05-15 00:46:06 UTC,119,155,178,166,57,,,,
2019-05-15 00:46:31 UTC,120,1155,1226,1083,2975,,,,
2019-05-15 00:46:47 UTC,121,3325,3264,2866,8073,,,,
2019-05-15 00:47:04 UTC,122,146,194,189,585,,,,
2019-05-15 00:47:20 UTC,123,182,236,225,682,,,,
2019-05-15 00:47:36 UTC,124,181,234,224,677,,,,
2019-05-15 00:47:52 UTC,125,183,236,225,683,,,,
2019-05-15 00:48:08 UTC,126,139,190,183,569,,,,
2019-05-15 01:12:52 UTC,127,174,206,213,663,,,,
2019-05-15 01:13:13 UTC,128,167,196,205,649,,,,
2019-05-15 01:13:29 UTC,129,52,55,68,250,,,,
2019-05-15 01:13:45 UTC,130,150,191,192,621,,,,
2019-05-15 01:14:02 UTC,131,198,228,225,703,,,,
2019-05-15 01:14:18 UTC,132,128,163,170,506,,,,
2019-05-15 01:14:34 UTC,133,153,196,197,581,,,,
2019-05-15 01:14:50 UTC,134,178,223,218,650,,,,
2019-05-15 01:15:07 UTC,135,178,222,218,648,,,,
2019-05-15 01:15:23 UTC,136,18983,18896,17644,-27647,,,,
2019-05-15 01:15:39 UTC,137,88,151,146,385,,,,
2019-05-15 01:15:56 UTC,138,132,196,200,612,,,,
2019-05-15 01:16:12 UTC,139,103,188,173,400,,,,
2019-05-15 01:16:28 UTC,140,112,200,184,431,,,,
2019-05-15 01:16:44 UTC,141,191,285,277,837,,,,
2019-05-15 01:17:00 UTC,142,12227,12089,13294,-27660,,,,
2019-05-15 01:17:16 UTC,143,15098,12691,11908,-27647,,,,
2019-05-15 01:17:36 UTC,144,213,301,291,904,,,,
2019-05-15 01:17:53 UTC,145,142,210,226,697,,,,
2019-05-15 01:18:09 UTC,146,131,189,208,656,,,,
2019-05-15 01:18:25 UTC,147,178,226,219,742,,,,
2019-05-15 01:18:42 UTC,148,147,217,229,707,,,,
2019-05-15 01:18:58 UTC,149,194,250,242,804,,,,
2019-05-15 02:07:53 UTC,150,86,115,84,215,,,,
2019-05-15 02:08:11 UTC,151,73,99,72,183,,,,
2019-05-15 02:08:26 UTC,152,73,98,68,174,,,,
2019-05-15 02:08:42 UTC,153,51,80,48,120,,,,
2019-05-15 02:09:01 UTC,154,52,82,49,123,,,,
2019-05-15 02:09:23 UTC,155,52,82,49,122,,,,
2019-05-15 02:09:39 UTC,156,58,92,54,136,,,,
